영화 대표코드,영화명,(해당일) 누적관객수
20196309,스파이더맨: 파 프롬 홈,(20190713) 6685160
20183867,알라딘,(20190713) 10161238
20184047,토이 스토리 4,(20190713) 3151062
20185353,기방도령,(20190713) 220182
20183782,기생충,(20190713) 9919835
20185986,진범,(20190713) 106756
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,(20190713) 101245
20199951,애나벨 집으로,(20190713) 459037
20196655,존 윅 3: 파라벨룸,(20190713) 913066
20192151,미드소마,(20190713) 45707
20198453,롱 리브 더 킹: 목포 영웅,(20190706) 1076588
20190273,천로역정: 천국을 찾아서,(20190706) 228365
20182585,비스트,(20190706) 199009
20192591,BIFAN2019 판타스틱 단편 걸작선 1,(20190706) 25000
20192022,마담 싸이코,(20190629) 37437
20196657,맨 인 블랙: 인터내셔널,(20190629) 843649
20190885,사탄의 인형,(20190622) 46546
20182387,엑스맨: 다크 피닉스,(20190622) 860921
20190466,세상을 바꾼 변호인,(20190622) 31379
19880001,이웃집 토토로,(20190615) 142372
20191401,업사이드,(20190615) 30244
20198291,로켓맨,(20190615) 98703
20184889,어벤져스: 엔드게임,(20190615) 13887813
20188941,악인전,(20190608) 3346654
20184865,고질라: 킹 오브 몬스터,(20190608) 352862
20199063,빅샤크2: 해저2만리,(20190608) 44189
20188144,0.0MHz,(20190608) 133522
20184082,걸캅스,(20190601) 1618601
20199448,어린 의뢰인,(20190601) 193949
20198597,교회오빠,(20190601) 65399
20199822,더 보이,(20190601) 88514
20187981,배심원들,(20190525) 270270
20198598,명탐정 피카츄,(20190525) 680420
20185784,나의 특별한 형제,(20190525) 1462434
20198183,뽀로로 극장판 보물섬 대모험,(20190518) 752508
20185384,호텔 뭄바이,(20190518) 61163
20197503,서스페리아,(20190518) 19684
20197147,어글리 돌,(20190511) 50816
20169323,안도 타다오,(20190511) 25540
20183096,생일,(20190504) 1191113
20181877,캡틴 마블,(20190504) 5796057
20060347,판의 미로 - 오필리아와 세 개의 열쇠,(20190504) 482408
20199736,프렌즈: 둥지탈출,(20190504) 10185
